sample_name	species	provided_species	ssi_stamper	GC	N50	bin_contigs_at_10x	bin_contigs_at_1x	bin_contigs_at_25x	bin_coverage_at_10x	bin_coverage_at_1x	bin_coverage_at_25x	bin_length_at_10x	bin_length_at_1x	bin_length_at_25x	filtered_reads_num	insert_size_avg	raw_length_at_10x	raw_length_at_1x	raw_length_at_25x	snp_filter_10x_10%	snp_filter_deletions	snp_filter_indels	name_classified_species_1_whats_my_species	name_classified_species_2_whats_my_species	percent_classified_species_1_whats_my_species	percent_classified_species_2_whats_my_species	percent_unclassified_whats_my_species
PASS_01	Escherichia coli	Escherichia coli	pass:OK	51.0	45000	450	450	440	120.0	120.0	118.5	4200000	4200000	4180000	4500000	280	4150000	4200000	4100000	50	10	80	Escherichia coli	Escherichia coli	95.5	2.1	2.4
PASS_02	Klebsiella pneumoniae	Klebsiella pneumoniae	pass:OK	57.0	65000	350	350	345	130.0	130.0	129.5	5200000	5200000	5180000	3800000	295	5150000	5200000	5120000	50	2	40	Klebsiella pneumoniae	Klebsiella pneumoniae	96.8	1.8	1.4
FAIL_GENERAL_01	Pseudomonas aeruginosa	Pseudomonas aeruginosa	fail:contamination	75.0	5000	800	800	790	80.0	80.0	79.5	300000	300000	295000	1500000	250	280000	300000	270000	200	50	150	Pseudomonas aeruginosa	Acinetobacter baumannii	60.5	25.1	14.4
FAIL_GENERAL_02	Enterobacter spp.	Enterobacter spp.	fail:size	8.0	8000	900	900	885	70.0	70.0	69.2	200000	200000	198000	1800000	230	185000	200000	175000	350	75	200	Enterobacter spp.	Citrobacter freundii	55.2	30.8	14.0
PASS_ACINETOBACTER_BAUMANNII	Acinetobacter baumannii	Acinetobacter baumannii	pass:OK	39.0	35000	250	250	245	125.0	125.0	124.2	3800000	3800000	3780000	3500000	285	3750000	3800000	3720000	50	8	80	Acinetobacter baumannii	Acinetobacter baumannii	95.8	2.1	2.1
FAIL_ACINETOBACTER_BAUMANNII_02	Acinetobacter baumannii	Acinetobacter baumannii	fail:contamination	39.2	12000	650	650	640	95.0	95.0	94.5	3850000	3850000	3830000	3200000	270	3800000	3850000	3780000	380	15	720	Acinetobacter baumannii	Pseudomonas aeruginosa	75.2	20.5	4.3
PASS_CAMPYLOBACTER_COLI	Campylobacter coli	Campylobacter coli	pass:OK	30.5	28000	180	180	175	110.0	110.0	109.2	1650000	1650000	1640000	2800000	260	1620000	1650000	1600000	50	12	80	Campylobacter coli	Campylobacter coli	94.8	3.1	2.1
FAIL_CAMPYLOBACTER_COLI_02	Campylobacter coli	Campylobacter coli	fail:gc_range	8.5	15000	650	650	640	85.0	85.0	84.2	1680000	1680000	1660000	2650000	240	1650000	1680000	1620000	450	25	750	Campylobacter coli	Helicobacter pylori	65.8	25.2	9.0
PASS_CAMPYLOBACTER_JEJUNI	Campylobacter jejuni	Campylobacter jejuni	pass:OK	30.8	32000	175	175	170	115.0	115.0	114.5	1620000	1620000	1610000	2900000	265	1590000	1620000	1570000	50	10	80	Campylobacter jejuni	Campylobacter jejuni	95.2	2.8	2.0
FAIL_CAMPYLOBACTER_JEJUNI_02	Campylobacter jejuni	Campylobacter jejuni	fail:gc_range	8.2	14000	680	680	670	80.0	80.0	79.5	1650000	1650000	1630000	2750000	235	1620000	1650000	1590000	500	30	800	Campylobacter jejuni	Campylobacter coli	62.5	28.5	9.0
PASS_ESCHERICHIA_COLI	Escherichia coli	Escherichia coli	pass:OK	51.0	48000	420	420	415	125.0	125.0	124.2	4800000	4800000	4780000	4200000	285	4750000	4800000	4720000	50	8	80	Escherichia coli	Escherichia coli	96.5	1.8	1.7
FAIL_ESCHERICHIA_COLI_02	Escherichia coli	Escherichia coli	fail:size	51.8	25000	750	750	740	90.0	90.0	89.5	6500000	6500000	6480000	3800000	260	6450000	6500000	6420000	650	35	950	Escherichia coli	Shigella flexneri	72.5	18.2	9.3
PASS_ENTEROCOCCUS_FAECIUM	Enterococcus faecium	Enterococcus faecium	pass:OK	38.5	42000	320	320	315	120.0	120.0	119.5	2850000	2850000	2840000	3200000	275	2820000	2850000	2800000	50	12	80	Enterococcus faecium	Enterococcus faecium	94.8	3.2	2.0
FAIL_ENTEROCOCCUS_FAECIUM_02	Enterococcus faecium	Enterococcus faecium	fail:contamination	38.2	18000	580	580	575	85.0	85.0	84.5	2900000	2900000	2880000	2950000	250	2870000	2900000	2850000	520	25	820	Enterococcus faecium	Enterococcus faecalis	68.5	22.8	8.7
PASS_ENTEROBACTER_SPP	Enterobacter spp.	Enterobacter spp.	pass:OK	55.2	38000	380	380	375	118.0	118.0	117.5	4950000	4950000	4930000	3850000	280	4920000	4950000	4900000	50	10	80	Enterobacter spp.	Enterobacter spp.	95.8	2.5	1.7
FAIL_ENTEROBACTER_SPP_02	Enterobacter spp.	Enterobacter spp.	fail:gc_range	75.2	15000	720	720	710	75.0	75.0	74.2	5100000	5100000	5080000	3650000	245	5050000	5100000	5020000	680	40	950	Enterobacter spp.	Citrobacter freundii	65.2	25.8	9.0
PASS_HAEMOPHILUS_INFLUENZAE	Haemophilus influenzae	Haemophilus influenzae	pass:OK	38.2	35000	280	280	275	115.0	115.0	114.5	1850000	1850000	1840000	2950000	270	1820000	1850000	1800000	50	8	80	Haemophilus influenzae	Haemophilus influenzae	96.2	2.1	1.7
FAIL_HAEMOPHILUS_INFLUENZAE_02	Haemophilus influenzae	Haemophilus influenzae	fail:completeness	38.5	12000	650	650	640	80.0	80.0	79.5	1900000	1900000	1880000	2800000	245	1870000	1900000	1850000	520	30	850	Haemophilus influenzae	Moraxella catarrhalis	65.8	25.5	8.7
PASS_HELICOBACTER_PYLORI	Helicobacter pylori	Helicobacter pylori	pass:OK	38.8	25000	220	220	215	105.0	105.0	104.5	1650000	1650000	1640000	2750000	255	1620000	1650000	1600000	50	6	80	Helicobacter pylori	Helicobacter pylori	95.5	2.8	1.7
FAIL_HELICOBACTER_PYLORI_02	Helicobacter pylori	Helicobacter pylori	fail:contamination	39.2	8000	750	750	740	65.0	65.0	64.5	1680000	1680000	1660000	2650000	230	1650000	1680000	1620000	650	45	920	Helicobacter pylori	Campylobacter jejuni	62.5	28.2	9.3
