sample_name	qc_action	qc_outcome	failed_rules	passed_rules	rMLST_match	species	Quast_Total_Length	Quast_GC_Pct	Average_Coverage	Quast_N50	Quast_Contigs	bracken_kraken_report_path	shovil_contigs_path	SeqSampleID	RunID	MLST_ST	PFInder_Database	rMLST_support	ssiamb_count	fastp_Before_Filtering_Total_Reads	fastp_Before_Filtering_Read1_Mean_Length	fastp_Before_Filtering_Read2_Mean_Length	fastp_After_Filtering_Total_Reads	fastp_After_Filtering_Read1_Mean_Length	fastp_After_Filtering_Read2_Mean_Length	fastp_Low_Quality_Reads	fastp_Too_Many_N_Reads	fastp_Too_Short_Reads	fastp_Too_Long_Reads	fastp_Duplication_Rate	fastp_Adapter_Trimmed_Reads	fastp_Adapter_Trimmed_Bases	fastp_Read1_Before_Filtering_Total_Cycles	fastp_Read1_After_Filtering_Total_Cycles	fastp_Read2_Before_Filtering_Total_Cycles	fastp_Read2_After_Filtering_Total_Cycles	Quast_Largest_Contig	Quast_N90	Quast_L50	Quast_L90	Bracken_Species	Bracken_Species_Pct	Bracken_Species1	Bracken_Species1_Pct	Bracken_Species2	Bracken_Species2_Pct	Bracken_Unclassified	Bracken_Unclassified_Pct	MLST_Species	MLST_Alleles	AMR_ContigID	AMR_Coverage	AMR_dbv_toolv	AMR_ElementName	AMR_ElementSymbol	AMR_Identity	AMR_Start	AMR_Stop	AMR_Strand	AMR_Subclass	PFinder_Plasmid	PFinder_Identity	PFinder_Coverage	PFinder_Contig	pMLST_plasmids	pMLST_IncF	pMLST_IncI1	pMLST_IncA/C	pMLST_IncHI1	pMLST_IncHI2	pMLST_IncN	pMLST_summary	lab_group
example_pass_ecoli					Escherichia coli	E. coli	4500000	50.6	55	45000	250			example_pass_ecoli	synthetic-example-run			100		2500000	145	145	2500000	145	145					0.12											Escherichia coli	99.0	Escherichia coli	98.0				1.0	E. coli																								LabA
example_pass_saureus					Staphylococcus aureus	Staphylococcus aureus	2850000	32.6	50	75000	80			example_pass_saureus	synthetic-example-run			100		2500000	150	150	2500000	150	150					0.1											Staphylococcus aureus	99.0	Staphylococcus aureus	98.0				1.0	Staphylococcus aureus																								LabA
example_pass_general_fail_species_kp					Klebsiella pneumoniae	K. pneumoniae	4000000	54.0	45	40000	200			example_pass_general_fail_species_kp	synthetic-example-run			100		2500000	140	140	2500000	140	140					0.15											Klebsiella pneumoniae	99.0	Klebsiella pneumoniae	98.0				1.0	K. pneumoniae																								LabA
example_warn_review					Cronobacter sakazakii	Cronobacter muytjensii	800000	45.0	25	35000	150			example_warn_review	synthetic-example-run			100		2500000	90	90	2500000	90	90					0.25											Cronobacter sakazakii	99.0	Cronobacter sakazakii	98.0				1.0	Cronobacter muytjensii																								LabA
example_fail_read_qc					Bacillus cereus	Salmonella	950000	35.0	15	40000	180			example_fail_read_qc	synthetic-example-run			100		2500000	70	70	2500000	70	70					0.35											Bacillus cereus	99.0	Bacillus cereus	98.0				1.0	Salmonella																								LabA
example_fail_assembly					Cronobacter sakazakii	Cronobacter muytjensii	750000	45.0	40	8000	800			example_fail_assembly	synthetic-example-run			100		2500000	140	140	2500000	140	140					0.15											Cronobacter sakazakii	99.0	Cronobacter sakazakii	98.0				1.0	Cronobacter muytjensii																								LabA
test_boundary_pass_exact					Bacillus cereus	Bacillus cereus	950000	35.0	30	40000	180			test_boundary_pass_exact	synthetic-example-run			100		2500000	100	100	2500000	100	100					0.2											Bacillus cereus	99.0	Bacillus cereus	98.0				1.0	Bacillus cereus																								LabA
test_boundary_warn_exact					Bacillus cereus	Bacillus cereus	950000	35.0	20	40000	180			test_boundary_warn_exact	synthetic-example-run			100		2500000	80	80	2500000	80	80					0.3											Bacillus cereus	99.0	Bacillus cereus	98.0				1.0	Bacillus cereus																								LabA
test_fail_coverage					Bacillus cereus	Bacillus cereus	950000	35.0	19	40000	180			test_fail_coverage	synthetic-example-run			100		2500000	150	150	2500000	150	150					0.12											Bacillus cereus	99.0	Bacillus cereus	98.0				1.0	Bacillus cereus																								LabA
test_fail_contamination					Bacillus cereus	Bacillus cereus	950000	35.0	50	40000	180			test_fail_contamination	synthetic-example-run			100		2500000	150	150	2500000	150	150					0.12											Bacillus cereus	99.0	Bacillus cereus	98.0				1.0	Bacillus cereus																								LabA
test_fail_q30					Bacillus cereus	Bacillus cereus	950000	35.0	50	40000	180			test_fail_q30	synthetic-example-run			100		2500000	150	150	2500000	150	150					0.12											Bacillus cereus	99.0	Bacillus cereus	98.0				1.0	Bacillus cereus																								LabB
test_fail_readlen					Bacillus cereus	Bacillus cereus	950000	35.0	50	40000	180			test_fail_readlen	synthetic-example-run			100		2500000	79	79	2500000	79	79					0.12											Bacillus cereus	99.0	Bacillus cereus	98.0				1.0	Bacillus cereus																								LabB
